epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,6612.23,1.01441,0.87549,0.00326,0.83376,0.73429,0.81428,0.66918,0.7933,0.77758,0.00379,0.00107288,0.00107288,0.00107288
110,6680.7,1.02054,0.88644,0.00341,0.8551,0.73332,0.81356,0.66145,0.7992,0.76115,0.00393,0.00106738,0.00106738,0.00106738
111,6749.67,1.02496,0.88846,0.00328,0.84939,0.73328,0.81208,0.66626,0.8004,0.72956,0.00387,0.00106188,0.00106188,0.00106188
112,6814.93,1.05346,0.90221,0.0034,0.84182,0.73221,0.8171,0.66579,0.82291,0.75796,0.00408,0.00105638,0.00105638,0.00105638
113,6881.14,1.04637,0.88353,0.00324,0.83464,0.73129,0.80768,0.66286,0.80947,0.76408,0.00398,0.00105088,0.00105088,0.00105088
114,6940.25,1.03553,0.8721,0.00327,0.84166,0.73214,0.81018,0.66227,0.79826,0.74783,0.00385,0.00104538,0.00104538,0.00104538
115,6996.08,1.02003,0.88359,0.00323,0.8187,0.74917,0.80765,0.6524,0.83452,0.7751,0.00393,0.00103987,0.00103987,0.00103987
116,7051.1,1.02986,0.88554,0.00327,0.84092,0.73409,0.81226,0.66683,0.7876,0.7696,0.00372,0.00103437,0.00103437,0.00103437
117,7105.74,1.03611,0.88308,0.00327,0.83016,0.74195,0.81052,0.6585,0.80117,0.7455,0.00409,0.00102887,0.00102887,0.00102887
118,7160.68,1.0248,0.87297,0.00335,0.83532,0.74033,0.8125,0.67328,0.7743,0.72381,0.00366,0.00102337,0.00102337,0.00102337
119,7215.08,0.9999,0.85508,0.0031,0.83407,0.75131,0.81483,0.66801,0.79343,0.72513,0.00369,0.00101787,0.00101787,0.00101787
120,7269.78,1.03787,0.87929,0.00331,0.82556,0.74449,0.81148,0.66106,0.79191,0.75405,0.00368,0.00101237,0.00101237,0.00101237
121,7324.16,1.02845,0.87248,0.00317,0.84591,0.73561,0.81137,0.66347,0.77537,0.76085,0.00362,0.00100687,0.00100687,0.00100687
122,7380.35,1.05928,0.88768,0.00332,0.84257,0.73555,0.80963,0.6675,0.80034,0.7522,0.00378,0.00100137,0.00100137,0.00100137
